treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
1,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,2,0.01,1.0,0.01,false
2,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,2,0.01,1.0,0.01,false
3,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,2,0.01,1.0,0.01,false
4,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,2,0.01,1.0,0.01,false
5,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,3,0.01,1.0,0.01,false
6,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,3,0.01,1.0,0.01,false
7,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,3,0.01,1.0,0.01,false
8,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,3,0.01,1.0,0.01,false
9,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,4,0.01,1.0,0.01,false
10,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,4,0.01,1.0,0.01,false
11,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,4,0.01,1.0,0.01,false
12,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,4,0.01,1.0,0.01,false
13,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,5,0.01,1.0,0.01,false
14,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,5,0.01,1.0,0.01,false
15,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,5,0.01,1.0,0.01,false
16,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,5,0.01,1.0,0.01,false
17,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,6,0.01,1.0,0.01,false
18,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,6,0.01,1.0,0.01,false
19,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,6,0.01,1.0,0.01,false
20,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,6,0.01,1.0,0.01,false
21,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,7,0.01,1.0,0.01,false
22,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,7,0.01,1.0,0.01,false
23,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,7,0.01,1.0,0.01,false
24,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,7,0.01,1.0,0.01,false
25,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,8,0.01,1.0,0.01,false
26,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,8,0.01,1.0,0.01,false
27,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,8,0.01,1.0,0.01,false
28,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,8,0.01,1.0,0.01,false
29,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,9,0.01,1.0,0.01,false
30,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,9,0.01,1.0,0.01,false
31,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,9,0.01,1.0,0.01,false
32,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,9,0.01,1.0,0.01,false
33,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,10,0.01,1.0,0.01,false
34,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,10,0.01,1.0,0.01,false
35,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,10,0.01,1.0,0.01,false
36,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,10,0.01,1.0,0.01,false
37,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,11,0.01,1.0,0.01,false
38,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,11,0.01,1.0,0.01,false
39,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,11,0.01,1.0,0.01,false
40,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,11,0.01,1.0,0.01,false
41,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,12,0.01,1.0,0.01,false
42,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,12,0.01,1.0,0.01,false
43,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,12,0.01,1.0,0.01,false
44,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,12,0.01,1.0,0.01,false
45,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,13,0.01,1.0,0.01,false
46,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,13,0.01,1.0,0.01,false
47,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,13,0.01,1.0,0.01,false
48,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,13,0.01,1.0,0.01,false
49,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,14,0.01,1.0,0.01,false
50,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,14,0.01,1.0,0.01,false
