treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
1,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
2,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
3,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
4,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
5,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
6,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
7,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
8,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
9,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
10,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.0,1.0,0.01,false
11,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
12,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
13,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
14,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
15,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
16,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
17,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
18,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
19,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
20,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.0,1.0,0.01,false
21,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
22,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
23,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
24,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
25,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
26,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
27,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
28,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
29,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
30,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.0,1.0,0.01,false
31,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
32,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
33,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
34,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
35,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
36,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
37,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
38,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
39,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
40,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.0,1.0,0.01,false
41,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
42,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
43,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
44,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
45,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
46,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
47,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
48,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
49,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
50,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
51,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
52,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
53,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
54,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
55,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
56,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
57,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
58,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
59,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
