treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
1,RickerModelWDiffusionDispersal(),2.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
2,RickerModelWStochasticDispersal(),2.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
3,RickerModelWDiffusionDispersal(),2.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
4,RickerModelWStochasticDispersal(),2.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
5,RickerModelWDiffusionDispersal(),2.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
6,RickerModelWStochasticDispersal(),2.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
7,RickerModelWDiffusionDispersal(),2.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
8,RickerModelWStochasticDispersal(),2.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
9,RickerModelWDiffusionDispersal(),3.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
10,RickerModelWStochasticDispersal(),3.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
11,RickerModelWDiffusionDispersal(),3.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
12,RickerModelWStochasticDispersal(),3.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
13,RickerModelWDiffusionDispersal(),3.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
14,RickerModelWStochasticDispersal(),3.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
15,RickerModelWDiffusionDispersal(),3.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
16,RickerModelWStochasticDispersal(),3.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
17,RickerModelWDiffusionDispersal(),4.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
18,RickerModelWStochasticDispersal(),4.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
19,RickerModelWDiffusionDispersal(),4.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
20,RickerModelWStochasticDispersal(),4.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
21,RickerModelWDiffusionDispersal(),4.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
22,RickerModelWStochasticDispersal(),4.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
23,RickerModelWDiffusionDispersal(),4.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
24,RickerModelWStochasticDispersal(),4.75,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
25,RickerModelWDiffusionDispersal(),5.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
26,RickerModelWStochasticDispersal(),5.0,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
27,RickerModelWDiffusionDispersal(),5.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
28,RickerModelWStochasticDispersal(),5.25,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
29,RickerModelWDiffusionDispersal(),5.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
30,RickerModelWStochasticDispersal(),5.5,200,0.03,4720950560,ExpKernel,0.0,10,0.01,1.0,0.01,false
